split,filename,reading,position,digit,class_id,x_center,y_center,width,height,x0_px,y0_px,x1_px,y1_px,image_width,image_height,direction_rotation,annotation_source,review_status,transition_state,notes,roi_x_center,roi_y_center,roi_width,roi_height,major_inset_ratio,minor_inset_ratio
train,meter_20251009.JPEG,2279,2,7,7,0.44179800,0.44367075,0.05468050,0.03106026,637,877,721,940,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44179800,0.46215900,0.07811500,0.14790600,0.0800,0.1500
train,meter_20251009.JPEG,2279,3,9,9,0.44179800,0.40669425,0.05468050,0.03106026,637,801,721,865,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44179800,0.46215900,0.07811500,0.14790600,0.0800,0.1500
train,meter_20260130.JPEG,2307,0,2,2,0.42670200,0.55382900,0.04886560,0.03051048,618,1103,693,1165,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42670200,0.49934600,0.06980800,0.14528800,0.0800,0.1500
train,meter_20260130.JPEG,2307,1,3,3,0.42670200,0.51750700,0.04886560,0.03051048,618,1029,693,1091,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42670200,0.49934600,0.06980800,0.14528800,0.0800,0.1500
train,meter_20260130.JPEG,2307,2,0,0,0.42670200,0.48118500,0.04886560,0.03051048,618,954,693,1017,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42670200,0.49934600,0.06980800,0.14528800,0.0800,0.1500
train,meter_20260130.JPEG,2307,3,7,7,0.42670200,0.44486300,0.04886560,0.03051048,618,880,693,942,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42670200,0.49934600,0.06980800,0.14528800,0.0800,0.1500
train,meter_20260202.JPEG,2308,0,2,2,0.43106500,0.49116525,0.02809800,0.02143974,641,984,684,1028,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43106500,0.45288000,0.04014000,0.10209400,0.0800,0.1500
train,meter_20260202.JPEG,2308,1,3,3,0.43106500,0.46564175,0.02809800,0.02143974,641,932,684,976,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43106500,0.45288000,0.04014000,0.10209400,0.0800,0.1500
train,meter_20260202.JPEG,2308,2,0,0,0.43106500,0.44011825,0.02809800,0.02143974,641,879,684,923,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43106500,0.45288000,0.04014000,0.10209400,0.0800,0.1500
train,meter_20260202.JPEG,2308,3,8,8,0.43106500,0.41459475,0.02809800,0.02143974,641,827,684,871,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43106500,0.45288000,0.04014000,0.10209400,0.0800,0.1500
train,meter_20260210.JPEG,2310,0,2,2,0.42408400,0.47169525,0.04520040,0.02996070,617,935,686,997,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42408400,0.41819400,0.06457200,0.14267000,0.0800,0.1500
train,meter_20260210.JPEG,2310,1,3,3,0.42408400,0.43602775,0.04520040,0.02996070,617,862,686,924,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42408400,0.41819400,0.06457200,0.14267000,0.0800,0.1500
train,meter_20260210.JPEG,2310,2,1,1,0.42408400,0.40036025,0.04520040,0.02996070,617,789,686,851,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42408400,0.41819400,0.06457200,0.14267000,0.0800,0.1500
train,meter_20260210.JPEG,2310,3,0,0,0.42408400,0.36469275,0.04520040,0.02996070,617,716,686,778,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42408400,0.41819400,0.06457200,0.14267000,0.0800,0.1500
train,meter_20260214.JPEG,2311,0,2,2,0.41581300,0.53956538,0.04408530,0.02473821,605,1080,673,1130,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41581300,0.49539000,0.06297900,0.11780100,0.0800,0.1500
train,meter_20260214.JPEG,2311,1,3,3,0.41581300,0.51011513,0.04408530,0.02473821,605,1019,673,1070,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41581300,0.49539000,0.06297900,0.11780100,0.0800,0.1500
train,meter_20260214.JPEG,2311,2,1,1,0.41581300,0.48066487,0.04408530,0.02473821,605,959,673,1010,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41581300,0.49539000,0.06297900,0.11780100,0.0800,0.1500
train,meter_20260214.JPEG,2311,3,1,1,0.41581300,0.45121462,0.04408530,0.02473821,605,899,673,949,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41581300,0.49539000,0.06297900,0.11780100,0.0800,0.1500
train,meter_20260216.JPEG,2312,0,2,2,0.47340425,0.56775800,0.02755662,0.04661440,941,836,998,908,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.42419600,0.56775800,0.13122200,0.06659200,0.0800,0.1500
train,meter_20260216.JPEG,2312,1,3,3,0.44059875,0.56775800,0.02755662,0.04661440,874,836,931,908,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.42419600,0.56775800,0.13122200,0.06659200,0.0800,0.1500
train,meter_20260216.JPEG,2312,2,1,1,0.40779325,0.56775800,0.02755662,0.04661440,807,836,863,908,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.42419600,0.56775800,0.13122200,0.06659200,0.0800,0.1500
train,meter_20260216.JPEG,2312,3,2,2,0.37498775,0.56775800,0.02755662,0.04661440,740,836,796,908,2048,1536,180,bootstrap-roi-split,pending,unknown,,0.42419600,0.56775800,0.13122200,0.06659200,0.0800,0.1500
train,meter_20260220.JPEG,2313,0,2,2,0.46929700,0.52779775,0.03382260,0.01958586,695,1061,747,1101,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.46929700,0.49282300,0.04831800,0.09326600,0.0800,0.1500
train,meter_20260220.JPEG,2313,1,3,3,0.46929700,0.50448125,0.03382260,0.01958586,695,1013,747,1053,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.46929700,0.49282300,0.04831800,0.09326600,0.0800,0.1500
train,meter_20260220.JPEG,2313,2,1,1,0.46929700,0.48116475,0.03382260,0.01958586,695,965,747,1005,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.46929700,0.49282300,0.04831800,0.09326600,0.0800,0.1500
train,meter_20260220.JPEG,2313,3,3,3,0.46929700,0.45784825,0.03382260,0.01958586,695,918,747,958,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.46929700,0.49282300,0.04831800,0.09326600,0.0800,0.1500
train,meter_20260224.JPEG,2314,0,2,2,0.42145200,0.48643525,0.05253500,0.02959782,607,966,688,1027,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42145200,0.43358200,0.07505000,0.14094200,0.0800,0.1500
train,meter_20260224.JPEG,2314,1,3,3,0.42145200,0.45119975,0.05253500,0.02959782,607,894,688,954,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42145200,0.43358200,0.07505000,0.14094200,0.0800,0.1500
train,meter_20260224.JPEG,2314,2,1,1,0.42145200,0.41596425,0.05253500,0.02959782,607,822,688,882,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42145200,0.43358200,0.07505000,0.14094200,0.0800,0.1500
train,meter_20260224.JPEG,2314,3,4,4,0.42145200,0.38072875,0.05253500,0.02959782,607,749,688,810,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42145200,0.43358200,0.07505000,0.14094200,0.0800,0.1500
train,meter_20260227.JPEG,2315,0,2,2,0.41468200,0.45690550,0.05392870,0.03195276,596,903,678,968,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41468200,0.39984700,0.07704100,0.15215600,0.0800,0.1500
train,meter_20260227.JPEG,2315,1,3,3,0.41468200,0.41886650,0.05392870,0.03195276,596,825,678,891,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41468200,0.39984700,0.07704100,0.15215600,0.0800,0.1500
train,meter_20260227.JPEG,2315,2,1,1,0.41468200,0.38082750,0.05392870,0.03195276,596,747,678,813,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41468200,0.39984700,0.07704100,0.15215600,0.0800,0.1500
train,meter_20260227.JPEG,2315,3,5,5,0.41468200,0.34278850,0.05392870,0.03195276,596,669,678,735,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41468200,0.39984700,0.07704100,0.15215600,0.0800,0.1500
train,meter_20260303.JPEG,2316,0,2,2,0.41260400,0.41726563,0.04429180,0.02937627,600,824,668,885,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41260400,0.36480800,0.06327400,0.13988700,0.0800,0.1500
train,meter_20260303.JPEG,2316,1,3,3,0.41260400,0.38229388,0.04429180,0.02937627,600,753,668,813,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41260400,0.36480800,0.06327400,0.13988700,0.0800,0.1500
train,meter_20260303.JPEG,2316,2,1,1,0.41260400,0.34732213,0.04429180,0.02937627,600,681,668,741,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41260400,0.36480800,0.06327400,0.13988700,0.0800,0.1500
train,meter_20260303.JPEG,2316,3,6,6,0.41260400,0.31235038,0.04429180,0.02937627,600,610,668,670,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.41260400,0.36480800,0.06327400,0.13988700,0.0800,0.1500
train,meter_20260307.JPEG,2317,0,2,2,0.43320100,0.54045762,0.04025630,0.02316699,634,1083,696,1131,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43320100,0.49908800,0.05750900,0.11031900,0.0800,0.1500
train,meter_20260307.JPEG,2317,1,3,3,0.43320100,0.51287787,0.04025630,0.02316699,634,1027,696,1074,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43320100,0.49908800,0.05750900,0.11031900,0.0800,0.1500
train,meter_20260307.JPEG,2317,2,1,1,0.43320100,0.48529812,0.04025630,0.02316699,634,970,696,1018,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43320100,0.49908800,0.05750900,0.11031900,0.0800,0.1500
train,meter_20260307.JPEG,2317,3,7,7,0.43320100,0.45771837,0.04025630,0.02316699,634,914,696,961,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43320100,0.49908800,0.05750900,0.11031900,0.0800,0.1500
train,meter_20260310.JPEG,2318,0,2,2,0.42862900,0.53723787,0.04045020,0.02506833,627,1075,689,1126,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42862900,0.49247300,0.05778600,0.11937300,0.0800,0.1500
train,meter_20260310.JPEG,2318,1,3,3,0.42862900,0.50739462,0.04045020,0.02506833,627,1013,689,1065,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42862900,0.49247300,0.05778600,0.11937300,0.0800,0.1500
train,meter_20260310.JPEG,2318,2,1,1,0.42862900,0.47755138,0.04045020,0.02506833,627,952,689,1004,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42862900,0.49247300,0.05778600,0.11937300,0.0800,0.1500
train,meter_20260310.JPEG,2318,3,8,8,0.42862900,0.44770812,0.04045020,0.02506833,627,891,689,943,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.42862900,0.49247300,0.05778600,0.11937300,0.0800,0.1500
train,meter_20260323.JPEG,2320,0,2,2,0.43186000,0.47546088,0.05600840,0.02934225,620,944,706,1004,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43186000,0.42306400,0.08001200,0.13972500,0.0800,0.1500
train,meter_20260323.JPEG,2320,1,3,3,0.43186000,0.44052963,0.05600840,0.02934225,620,872,706,932,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43186000,0.42306400,0.08001200,0.13972500,0.0800,0.1500
train,meter_20260323.JPEG,2320,2,2,2,0.43186000,0.40559837,0.05600840,0.02934225,620,801,706,861,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43186000,0.42306400,0.08001200,0.13972500,0.0800,0.1500
train,meter_20260323.JPEG,2320,3,0,0,0.43186000,0.37066712,0.05600840,0.02934225,620,729,706,789,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.43186000,0.42306400,0.08001200,0.13972500,0.0800,0.1500
test,meter_20260327.JPEG,2321,0,2,2,0.44140600,0.44165000,0.03828160,0.02337888,649,881,707,928,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44140600,0.39990200,0.05468800,0.11132800,0.0800,0.1500
test,meter_20260327.JPEG,2321,1,3,3,0.44140600,0.41381800,0.03828160,0.02337888,649,824,707,871,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44140600,0.39990200,0.05468800,0.11132800,0.0800,0.1500
test,meter_20260327.JPEG,2321,2,2,2,0.44140600,0.38598600,0.03828160,0.02337888,649,767,707,814,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44140600,0.39990200,0.05468800,0.11132800,0.0800,0.1500
test,meter_20260327.JPEG,2321,3,1,1,0.44140600,0.35815400,0.03828160,0.02337888,649,710,707,757,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44140600,0.39990200,0.05468800,0.11132800,0.0800,0.1500
train,meter_20260401.JPEG,2322,0,2,2,0.44890500,0.48994575,0.03406340,0.02019234,663,983,716,1024,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44890500,0.45388800,0.04866200,0.09615400,0.0800,0.1500
train,meter_20260401.JPEG,2322,1,3,3,0.44890500,0.46590725,0.03406340,0.02019234,663,934,716,975,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44890500,0.45388800,0.04866200,0.09615400,0.0800,0.1500
train,meter_20260401.JPEG,2322,2,2,2,0.44890500,0.44186875,0.03406340,0.02019234,663,884,716,926,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44890500,0.45388800,0.04866200,0.09615400,0.0800,0.1500
train,meter_20260401.JPEG,2322,3,2,2,0.44890500,0.41783025,0.03406340,0.02019234,663,835,716,876,1536,2048,90,bootstrap-roi-split,pending,unknown,,0.44890500,0.45388800,0.04866200,0.09615400,0.0800,0.1500
train,meter_20260409.JPEG,2323,0,2,2,0.43121000,0.51584850,0.03190600,0.02103276,1256,2037,1352,2122,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43121000,0.47829000,0.04558000,0.10015600,0.0800,0.1500
train,meter_20260409.JPEG,2323,1,3,3,0.43121000,0.49080950,0.03190600,0.02103276,1256,1937,1352,2021,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43121000,0.47829000,0.04558000,0.10015600,0.0800,0.1500
train,meter_20260409.JPEG,2323,2,2,2,0.43121000,0.46577050,0.03190600,0.02103276,1256,1836,1352,1920,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43121000,0.47829000,0.04558000,0.10015600,0.0800,0.1500
train,meter_20260409.JPEG,2323,3,3,3,0.43121000,0.44073150,0.03190600,0.02103276,1256,1735,1352,1819,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43121000,0.47829000,0.04558000,0.10015600,0.0800,0.1500
train,meter_20260413.JPEG,2324,0,2,2,0.46491200,0.52454962,0.02692200,0.01663683,1365,2081,1447,2149,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.46491200,0.49484100,0.03846000,0.07922300,0.0800,0.1500
train,meter_20260413.JPEG,2324,1,3,3,0.46491200,0.50474387,0.02692200,0.01663683,1365,2002,1447,2069,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.46491200,0.49484100,0.03846000,0.07922300,0.0800,0.1500
train,meter_20260413.JPEG,2324,2,2,2,0.46491200,0.48493812,0.02692200,0.01663683,1365,1922,1447,1989,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.46491200,0.49484100,0.03846000,0.07922300,0.0800,0.1500
train,meter_20260413.JPEG,2324,3,4,4,0.46491200,0.46513237,0.02692200,0.01663683,1365,1842,1447,1909,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.46491200,0.49484100,0.03846000,0.07922300,0.0800,0.1500
train,meter_20260416.JPEG,2325,0,2,2,0.45036000,0.53901162,0.02837380,0.01778427,1319,2137,1405,2209,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45036000,0.50725400,0.04053400,0.08468700,0.0800,0.1500
train,meter_20260416.JPEG,2325,1,3,3,0.45036000,0.51783987,0.02837380,0.01778427,1319,2052,1405,2124,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45036000,0.50725400,0.04053400,0.08468700,0.0800,0.1500
train,meter_20260416.JPEG,2325,2,2,2,0.45036000,0.49666813,0.02837380,0.01778427,1319,1967,1405,2038,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45036000,0.50725400,0.04053400,0.08468700,0.0800,0.1500
train,meter_20260416.JPEG,2325,3,5,5,0.45036000,0.47549637,0.02837380,0.01778427,1319,1881,1405,1953,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45036000,0.50725400,0.04053400,0.08468700,0.0800,0.1500
train,meter_20260420.JPEG,2326,0,2,2,0.42482100,0.53405262,0.03526460,0.02197251,1231,2109,1338,2198,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.42482100,0.49481600,0.05037800,0.10463100,0.0800,0.1500
train,meter_20260420.JPEG,2326,1,3,3,0.42482100,0.50789487,0.03526460,0.02197251,1231,2004,1338,2092,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.42482100,0.49481600,0.05037800,0.10463100,0.0800,0.1500
train,meter_20260420.JPEG,2326,2,2,2,0.42482100,0.48173712,0.03526460,0.02197251,1231,1898,1338,1987,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.42482100,0.49481600,0.05037800,0.10463100,0.0800,0.1500
train,meter_20260420.JPEG,2326,3,6,6,0.42482100,0.45557937,0.03526460,0.02197251,1231,1793,1338,1881,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.42482100,0.49481600,0.05037800,0.10463100,0.0800,0.1500
train,meter_20260423.JPEG,2327,0,2,2,0.44874800,0.51173550,0.03018120,0.01894284,1311,2025,1403,2102,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44874800,0.47790900,0.04311600,0.09020400,0.0800,0.1500
train,meter_20260423.JPEG,2327,1,3,3,0.44874800,0.48918450,0.03018120,0.01894284,1311,1934,1403,2011,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44874800,0.47790900,0.04311600,0.09020400,0.0800,0.1500
train,meter_20260423.JPEG,2327,2,2,2,0.44874800,0.46663350,0.03018120,0.01894284,1311,1843,1403,1920,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44874800,0.47790900,0.04311600,0.09020400,0.0800,0.1500
train,meter_20260423.JPEG,2327,3,7,7,0.44874800,0.44408250,0.03018120,0.01894284,1311,1752,1403,1829,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44874800,0.47790900,0.04311600,0.09020400,0.0800,0.1500
train,meter_20260427.JPEG,2328,0,2,2,0.43558700,0.48007850,0.03081680,0.01894284,1271,1897,1364,1974,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43558700,0.44625200,0.04402400,0.09020400,0.0800,0.1500
train,meter_20260427.JPEG,2328,1,3,3,0.43558700,0.45752750,0.03081680,0.01894284,1271,1807,1364,1883,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43558700,0.44625200,0.04402400,0.09020400,0.0800,0.1500
train,meter_20260427.JPEG,2328,2,2,2,0.43558700,0.43497650,0.03081680,0.01894284,1271,1716,1364,1792,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43558700,0.44625200,0.04402400,0.09020400,0.0800,0.1500
train,meter_20260427.JPEG,2328,3,8,8,0.43558700,0.41242550,0.03081680,0.01894284,1271,1625,1364,1701,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43558700,0.44625200,0.04402400,0.09020400,0.0800,0.1500
train,meter_20260507.JPEG,2330,0,2,2,0.44306300,0.51540500,0.03127950,0.01680000,1293,2044,1387,2112,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44306300,0.48540500,0.04468500,0.08000000,0.0800,0.1500
train,meter_20260507.JPEG,2330,1,3,3,0.44306300,0.49540500,0.03127950,0.01680000,1293,1964,1387,2031,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44306300,0.48540500,0.04468500,0.08000000,0.0800,0.1500
train,meter_20260507.JPEG,2330,2,3,3,0.44306300,0.47540500,0.03127950,0.01680000,1293,1883,1387,1951,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44306300,0.48540500,0.04468500,0.08000000,0.0800,0.1500
train,meter_20260507.JPEG,2330,3,0,0,0.44306300,0.45540500,0.03127950,0.01680000,1293,1802,1387,1870,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44306300,0.48540500,0.04468500,0.08000000,0.0800,0.1500
train,meter_20260512.JPEG,2331,0,2,2,0.44955000,0.51351325,0.03027010,0.01816206,1314,2034,1405,2107,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44955000,0.48108100,0.04324300,0.08648600,0.0800,0.1500
train,meter_20260512.JPEG,2331,1,3,3,0.44955000,0.49189175,0.03027010,0.01816206,1314,1947,1405,2020,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44955000,0.48108100,0.04324300,0.08648600,0.0800,0.1500
train,meter_20260512.JPEG,2331,2,3,3,0.44955000,0.47027025,0.03027010,0.01816206,1314,1860,1405,1933,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44955000,0.48108100,0.04324300,0.08648600,0.0800,0.1500
train,meter_20260512.JPEG,2331,3,1,1,0.44955000,0.44864875,0.03027010,0.01816206,1314,1772,1405,1846,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.44955000,0.48108100,0.04324300,0.08648600,0.0800,0.1500
train,meter_20260515.JPEG,2332,0,2,2,0.41135100,0.52216237,0.04136930,0.02542701,1181,2054,1306,2157,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.41135100,0.47675700,0.05909900,0.12108100,0.0800,0.1500
train,meter_20260515.JPEG,2332,1,3,3,0.41135100,0.49189213,0.04136930,0.02542701,1181,1932,1306,2035,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.41135100,0.47675700,0.05909900,0.12108100,0.0800,0.1500
train,meter_20260515.JPEG,2332,2,3,3,0.41135100,0.46162187,0.04136930,0.02542701,1181,1810,1306,1913,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.41135100,0.47675700,0.05909900,0.12108100,0.0800,0.1500
train,meter_20260515.JPEG,2332,3,2,2,0.41135100,0.43135163,0.04136930,0.02542701,1181,1688,1306,1790,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.41135100,0.47675700,0.05909900,0.12108100,0.0800,0.1500
train,meter_20260518.JPEG,2333,0,2,2,0.45130100,0.52912450,0.03526460,0.02301012,1311,2087,1418,2180,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45130100,0.48803500,0.05037800,0.10957200,0.0800,0.1500
train,meter_20260518.JPEG,2333,1,3,3,0.45130100,0.50173150,0.03526460,0.02301012,1311,1977,1418,2069,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45130100,0.48803500,0.05037800,0.10957200,0.0800,0.1500
train,meter_20260518.JPEG,2333,2,3,3,0.45130100,0.47433850,0.03526460,0.02301012,1311,1866,1418,1959,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45130100,0.48803500,0.05037800,0.10957200,0.0800,0.1500
train,meter_20260518.JPEG,2333,3,3,3,0.45130100,0.44694550,0.03526460,0.02301012,1311,1756,1418,1848,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.45130100,0.48803500,0.05037800,0.10957200,0.0800,0.1500
train,meter_20260521.JPEG,2334,0,2,2,0.40414400,0.50567612,0.04338740,0.02588103,1157,1987,1288,2091,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.40414400,0.45946000,0.06198200,0.12324300,0.0800,0.1500
train,meter_20260521.JPEG,2334,1,3,3,0.40414400,0.47486537,0.04338740,0.02588103,1157,1862,1288,1967,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.40414400,0.45946000,0.06198200,0.12324300,0.0800,0.1500
train,meter_20260521.JPEG,2334,2,3,3,0.40414400,0.44405462,0.04338740,0.02588103,1157,1738,1288,1843,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.40414400,0.45946000,0.06198200,0.12324300,0.0800,0.1500
train,meter_20260521.JPEG,2334,3,4,4,0.40414400,0.41324387,0.04338740,0.02588103,1157,1614,1288,1718,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.40414400,0.45946000,0.06198200,0.12324300,0.0800,0.1500
train,meter_20260524.JPEG,2335,0,2,2,0.43474700,0.52616562,0.04778130,0.02662107,1242,2068,1387,2175,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43474700,0.47862800,0.06825900,0.12676700,0.0800,0.1500
train,meter_20260524.JPEG,2335,1,3,3,0.43474700,0.49447387,0.04778130,0.02662107,1242,1940,1387,2047,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43474700,0.47862800,0.06825900,0.12676700,0.0800,0.1500
train,meter_20260524.JPEG,2335,2,3,3,0.43474700,0.46278213,0.04778130,0.02662107,1242,1812,1387,1920,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43474700,0.47862800,0.06825900,0.12676700,0.0800,0.1500
train,meter_20260524.JPEG,2335,3,5,5,0.43474700,0.43109038,0.04778130,0.02662107,1242,1684,1387,1792,3024,4032,90,bootstrap-roi-split,pending,unknown,,0.43474700,0.47862800,0.06825900,0.12676700,0.0800,0.1500
